[Tue Mar 31 21:21:56.120013 2015] [:error] [pid 1014] [client 99.254.9.30:50474] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170
[Tue Mar 31 21:21:56.120959 2015] [:error] [pid 1014] [client 99.254.9.30:50474] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186
[Tue Mar 31 21:21:56.121003 2015] [:error] [pid 1014] [client 99.254.9.30:50474] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188
[Tue Mar 31 21:21:56.121121 2015] [:error] [pid 1014] [client 99.254.9.30:50474] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170
[Tue Mar 31 21:21:56.121175 2015] [:error] [pid 1014] [client 99.254.9.30:50474] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186
[Tue Mar 31 21:21:56.121186 2015] [:error] [pid 1014] [client 99.254.9.30:50474] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188
[Tue Mar 31 21:25:50.835060 2015] [:error] [pid 1014] [client 99.254.9.30:50493] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:50.835399 2015] [:error] [pid 1014] [client 99.254.9.30:50493] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:50.835415 2015] [:error] [pid 1014] [client 99.254.9.30:50493] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:50.835508 2015] [:error] [pid 1014] [client 99.254.9.30:50493] PHP Warning:  file_get_contents(/var/www/marchtennisclub.com/public_html/to_be/json-api/lib/res/en_strings.json): failed to open stream: No such file or directory in /var/www/marchtennisclub.com/public_html/json-api/lib/PublicUtils.class.php on line 18, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:50.835566 2015] [:error] [pid 1014] [client 99.254.9.30:50493] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:50.835596 2015] [:error] [pid 1014] [client 99.254.9.30:50493] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 186, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:50.835606 2015] [:error] [pid 1014] [client 99.254.9.30:50493] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 188, referer: http://marchtennisclub.com/UnitTest/
[Tue Mar 31 21:25:53.686506 2015] [:error] [pid 3136] [client 99.254.9.30:50500] PHP Warning:  fopen(logs/log.txt): failed to open stream: Permission denied in /var/www/marchtennisclub.com/public_html/json-api/lib/general/base/Log4me.class.php on line 170, referer: http://marchtennisclub.com/UnitTest/
